gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
MT1A,1,"-1,175","-1,58651","-0,76349",NA,NA,NA,"2,19E-08",1,Mitochondrial Biogenesis (complete),DOWN,"0,44"
GGT3P,2,"-0,75182","-2,42404","0,920413","1,006789","1,013624","57,5","0,378212",0,autophagy,DOWN,"0,59"
ENPP3,3,"-0,70371","-1,63275","0,225331","0,635005","0,403231","62,1","0,137645",0,autophagy,DOWN,"0,61"
CHI3L2,3,"-0,5795","-1,22108","0,062082","0,437344","0,19127","62,8","0,07667",0,autophagy,DOWN,"0,67"
HECW1,3,"-0,41232","-1,13854","0,313906","0,485425","0,235637","59,3","0,265794",0,autophagy,DOWN,"0,75"
TIMP1,3,"-0,37467","-0,9432","0,193861","0,465228","0,216437","88,3","0,196473",0,autophagy,DOWN,"0,77"
MOXD1,3,"-0,36856","-2,39227","1,655145","1,74418","3,042165","96,6","0,721122",0,autophagy,DOWN,"0,77"
CYP2A7,3,"-0,36805","-1,03372","0,297627","0,473355","0,224065","64,7","0,27851",0,autophagy,DOWN,"0,77"
CTSC,3,"-0,36399","-0,77211","0,044123","0,339039","0,114947","88,9","0,080447",0,autophagy,DOWN,"0,78"
CHI3L1,3,"-0,35612","-1,12795","0,415707","0,589709","0,347757","76,5","0,365815",0,autophagy,DOWN,"0,78"
ADA,3,"-0,3523","-1,14945","0,444848","0,686602","0,471423","95,8","0,386368",0,autophagy,DOWN,"0,78"
TET3,3,"-0,34933","-0,83688","0,138221","0,400848","0,160679","87,1","0,160218",0,autophagy,DOWN,"0,78"
SRC,3,"-0,31659","-0,72235","0,089165","0,32913","0,108326","84,5","0,126192",0,Mitophagy,DOWN,"0,80"
HBB,2,"-0,31562","-0,64772","0,016476",0,0,0,"0,062496",0,autophagy,DOWN,"0,80"
KCTD10,3,"-0,3082","-0,70334","0,086935","0,33013","0,108986","89,6","0,12632",0,autophagy,DOWN,"0,81"
FBXL22,3,"-0,28765","-0,67296","0,097665","0,293717","0,086269","75,3","0,143413",0,autophagy,DOWN,"0,82"
CYP2B6,3,"-0,28421","-0,72885","0,160425",0,0,0,"0,210266",0,autophagy,DOWN,"0,82"
ATF4,3,"-0,26466","-0,87399","0,344677","0,515663","0,265908","92,7","0,394602",0,Mitophagy,DOWN,"0,83"
OTUD7B,3,"-0,25749","-0,61863","0,103661","0,299702","0,089821","88,3","0,162289",0,autophagy,DOWN,"0,84"
SFXN2,3,"-0,25709","-0,60199","0,087812","0,244949","0,06","64,8","0,14402",0,Mitochondrial Biogenesis (complete),DOWN,"0,84"
IDNK,3,"-0,25314","-0,76584","0,259559","0,389432","0,151657","77,1","0,333177",0,autophagy,DOWN,"0,84"
IRS1,3,"-0,24983","-0,63006","0,13039","0,312583","0,097708","88,9","0,197796",0,Autophagy,DOWN,"0,84"
ETHE1,3,"-0,2453","-0,68996","0,199356","0,337704","0,114044","76,2","0,27958",0,Mitochondrial Biogenesis (complete),DOWN,"0,84"
PRODH,3,"-0,23759","-0,73985","0,264656","0,370854","0,137533","70,7","0,353824",0,autophagy,DOWN,"0,85"
ISG15,3,"-0,23063","-0,61899","0,157733","0,282137","0,079601","67,9","0,244447",0,autophagy,DOWN,"0,85"
ISG20,3,"-0,22881","-0,58922","0,131593",0,0,0,"0,213369",0,autophagy,DOWN,"0,85"
CTSZ,3,"-0,2288","-0,49566","0,038059","0,191714","0,036754","66,5","0,092866",0,autophagy,DOWN,"0,85"
SMURF1,3,"-0,22625","-0,77809","0,325587","0,35646","0,127064","50,8","0,421632",0,Mitochondrial Biogenesis (complete),DOWN,"0,85"
FBXO27,3,"-0,21982","-0,5317","0,092058","0,202468","0,040993","53,8","0,167138",0,autophagy,DOWN,"0,86"
PPRC1,3,"-0,21497","-0,53927","0,109323","0,236137","0,055761","70,2","0,193853",0,Mitochondrial Biogenesis (complete),DOWN,"0,86"
CYP2A6,3,"-0,21476","-0,50839","0,078878",0,0,0,"0,151717",0,autophagy,DOWN,"0,86"
PSMB8,3,"-0,20661","-0,41716","0,00395",0,0,0,"0,054451",0,autophagy,DOWN,"0,87"
MT1F,3,"-0,20319","-0,85858","0,452212","0,37565","0,141113","38,6","0,543428",0,Mitochondrial Biogenesis (complete),DOWN,"0,87"
RNF213,3,"-0,20318","-0,62825","0,221886","0,358703","0,128668","91,2","0,348823",0,autophagy,DOWN,"0,87"
UBE2C,3,"-0,20209","-0,87258","0,468389","0,544753","0,296756","89,2","0,554671",0,autophagy,DOWN,"0,87"
ACTG1,3,"-0,19914","-0,63617","0,237884","0,366777","0,134525","91,1","0,371793",0,Mitochondrial Biogenesis (complete),DOWN,"0,87"
EXOG,3,"-0,19634","-0,66456","0,271877","0,384614","0,147928",89,"0,411132",0,Mitochondrial Biogenesis (complete),DOWN,"0,87"
TRIB2,3,"-0,19595","-0,40656","0,014658","0,141021","0,019887","57,9","0,068215",0,autophagy,DOWN,"0,87"
NRIP1,3,"-0,1943","-0,66134","0,272745","0,391016","0,152893","90,1","0,414848",0,Mitochondrial Biogenesis (complete),DOWN,"0,87"
UBA7,3,"-0,19381","-0,67159","0,283978","0,348649","0,121556","75,2","0,426586",0,autophagy,DOWN,"0,87"
ITPA,3,"-0,19353","-0,4164","0,029329","0,142496","0,020305","52,4","0,088743",0,autophagy,DOWN,"0,87"
IRS4,3,"-0,19264","-0,57785","0,192572","0,19084","0,03642","21,1","0,327005",0,Autophagy,DOWN,"0,88"
CYP2G1P,3,"-0,18898","-0,43198","0,054014",0,0,0,"0,127428",0,autophagy,DOWN,"0,88"
