"The research was conducted on the KEGG and Gene Ontology (GO) platforms. he research was performed on July 3, 2023

In the KEGG platform, the following terms were used:
Autophagy (KEGG code: ko04140)
Mitochondrial Biogenesis - complete (KEGG code: hsa03029)
Mitophagy (KEGG code: ko04137)

Regarding the GO platform, the following terms were used:
Autophagy - GO:0006914
Autophagy of mitocondrion - GO:0000422
Inner mitochondrial membrane organization - GO:0007007
Mitochondrial fission - GO:0000266
Mitochondrial fusion - GO:0008053
Mitochondrial inner membrane - GO:0005743
Mitochondrial inner membrane fusion - GO:1990627
Mitochondrial outer membrane - GO:0005741
Mitochondrial outer membrane fusion - GO:1990626
Mitochondrion morphogenesis - GO:0070584
Mitochondrion organization - GO:0007005
Negative regulation of autophagy - GO:0010507
Outer mitochondrial membrane organization - GO:0007008
               Since human genes were only available for child term “protein insertion into mitochondrial outer membrane” (GO:0045040), we selected from that term instead.
Positive regulation of autophagy - GO:0000422
Regulation of autophagy - GO:0010506",,,,
gene_symbol,annotation_id,annotation_name,database,Grouped process
ABCB10,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ABCB6,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ABCB7,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ABCB8,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ABL1,GO:0006914,autophagy,GO,Autophagy
ABL1,GO:0010506,regulation of autophagy,GO,Autophagy
ABL2,GO:0010506,regulation of autophagy,GO,Autophagy
ACACB,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ACAD11,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ACAD9,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
ACAD9,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ACADVL,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ACBD5,GO:0006914,autophagy,GO,Autophagy
ACER2,GO:0010506,regulation of autophagy,GO,Autophagy
ACSL1,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ACSL3,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ACSL4,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ACSL5,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ACSL6,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
ACTB,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
ACTG1,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
ADCK1,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ADCK1,GO:0007005,mitochondrion organization,GO,Mitochondrial organization
ADRA1A,GO:0010507,negative regulation of autophagy,GO,Autophagy
AFG1L,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
AFG1L,GO:0007005,mitochondrion organization,GO,Mitochondrial organization
AFG3L2,GO:0008053,mitochondrial fusion,GO,Mitochondrial organization
AFG3L2,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
AFG3L2,GO:0007005,mitochondrion organization,GO,Mitochondrial organization
AGK,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
AGK,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
AGPAT4,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
AGPAT5,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
AGTPBP1,GO:0007005,mitochondrion organization,GO,Mitochondrial organization
AIFM1,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
AIFM2,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
AIFM3,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
AIP,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
AIPL1,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
AKAP1,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
AKT1,path:hsa04140,Autophagy,KEGG,Autophagy
AKT1,GO:0010507,negative regulation of autophagy,GO,Autophagy
AKT1S1,path:hsa04140,Autophagy,KEGG,Autophagy
AKT2,path:hsa04140,Autophagy,KEGG,Autophagy
AKT3,path:hsa04140,Autophagy,KEGG,Autophagy
ALAS1,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ALAS2,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
ALDH18A1,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
AMBP,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
AMBRA1,GO:0006914,autophagy,GO,Autophagy
AMBRA1,path:hsa04140,Autophagy,KEGG,Autophagy
AMBRA1,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
AMBRA1,GO:0005741,mitochondrial outer membrane,GO,Mitochondrial organization
AMBRA1,GO:0000422,autophagy of mitochondrion,GO,Mitophagy
AMBRA1,path:hsa04137,Mitophagy,KEGG,Mitophagy
ANXA7,GO:0006914,autophagy,GO,Autophagy
APOO,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
APOO,GO:0007007,inner mitochondrial membrane organization,GO,Mitochondrial organization
APOO,GO:0005743,mitochondrial inner membrane,GO,Mitochondrial organization
APOOL,br:hsa03029,Mitochondrial biogenesis,KEGG,Mitochondrial biogenesis
APOOL,GO:0007007,inner mitochondrial membrane organization,GO,Mitochondrial organization
