grouped_process	gene_symbol
Autophagy	ABL1
Autophagy	ABL2
Autophagy	ACBD5
Autophagy	ACER2
Autophagy	ADRA1A
Autophagy	AKT1
Autophagy	AKT1S1
Autophagy	AKT2
Autophagy	AKT3
Autophagy	AMBRA1
Autophagy	ANXA7
Autophagy	ARFIP2
Autophagy	ARSA
Autophagy	ARSB
Autophagy	ATG10
Autophagy	ATG101
Autophagy	ATG12
Autophagy	ATG13
Autophagy	ATG14
Autophagy	ATG16L1
Autophagy	ATG16L2
Autophagy	ATG2A
Autophagy	ATG2B
Autophagy	ATG3
Autophagy	ATG4A
Autophagy	ATG4B
Autophagy	ATG4C
Autophagy	ATG4D
Autophagy	ATG5
Autophagy	ATG7
Autophagy	ATG9A
Autophagy	ATG9B
Autophagy	ATM
Autophagy	ATP13A2
Autophagy	BAD
Autophagy	BCAS3
Autophagy	BCL2
Autophagy	BCL2L1
Autophagy	BECN1
Autophagy	BECN2
Autophagy	BMF
Autophagy	BNIP3
Autophagy	BOK
Autophagy	C19orf12
Autophagy	C9orf72
Autophagy	CALCOCO2
Autophagy	CAMKK2
Autophagy	CD84
Autophagy	CFLAR
Autophagy	CHMP1A
Autophagy	CHMP1B
Autophagy	CHMP2A
Autophagy	CHMP2B
Autophagy	CHMP3
Autophagy	CHMP4A
Autophagy	CHMP4B
Autophagy	CHMP4C
Autophagy	CHMP5
Autophagy	CHMP6
Autophagy	CHMP7
Autophagy	CISD1
Autophagy	CISD2
Autophagy	CLEC16A
Autophagy	CLN3
Autophagy	CLTC
Autophagy	CPTP
Autophagy	CRYBA1
Autophagy	CTSB
Autophagy	CTSD
Autophagy	CTSL
Autophagy	DAP
Autophagy	DAPK1
Autophagy	DAPK2
Autophagy	DAPK3
Autophagy	DAPL1
Autophagy	DCAF12
Autophagy	DDIT3
Autophagy	DDIT4
Autophagy	DEPP1
Autophagy	DEPTOR
Autophagy	DRAM1
Autophagy	DRAM2
Autophagy	DRD2
Autophagy	DRD3
Autophagy	EI24
Autophagy	EIF2AK3
Autophagy	EIF2AK4
Autophagy	EIF2S1
Autophagy	EIF4G1
Autophagy	EIF4G2
Autophagy	ELAPOR1
Autophagy	EP300
Autophagy	EPG5
Autophagy	EPM2A
Autophagy	ERCC4
Autophagy	ERN1
Autophagy	EVA1A
Autophagy	FBXL2
Autophagy	FNBP1L
Autophagy	FOXK1
Autophagy	FOXK2
Autophagy	FOXO1
Autophagy	FUNDC1
Autophagy	GABARAP
Autophagy	GABARAPL1
Autophagy	GABARAPL2
Autophagy	GATA4
Autophagy	GBA1
Autophagy	GOLGA2
Autophagy	GPR137
Autophagy	GPR137B
Autophagy	GRAMD1A
Autophagy	HAP1
Autophagy	HDAC10
Autophagy	HDAC6
Autophagy	HERC1
Autophagy	HGF
Autophagy	HIF1A
Autophagy	HMGB1
Autophagy	HRAS
Autophagy	HSPB1
Autophagy	HTR2B
Autophagy	IFI16
Autophagy	IGBP1
Autophagy	IGF1R
Autophagy	IL10
Autophagy	IL10RA
Autophagy	INS
Autophagy	IRF8
Autophagy	IRGM
Autophagy	IRS1
Autophagy	IRS2
Autophagy	IRS4
Autophagy	ITGB4
Autophagy	ITPR1
Autophagy	KAT8
Autophagy	KDM4A
Autophagy	KEAP1
Autophagy	KIF25
Autophagy	KLHL22
Autophagy	KRAS
Autophagy	LAMP1
Autophagy	LAMP2
Autophagy	LAMP3
Autophagy	LEP
Autophagy	LEPR
Autophagy	LGALS8
Autophagy	LRRK2
Autophagy	LRSAM1
Autophagy	MAGEA3
Autophagy	MAGEA6
Autophagy	MAP1LC3A
Autophagy	MAP1LC3B
Autophagy	MAP1LC3B2
Autophagy	MAP1LC3C
Autophagy	MAP1S
Autophagy	MAP2K1
Autophagy	MAP2K2
Autophagy	MAP2K5
Autophagy	MAP3K7
Autophagy	MAPK1
Autophagy	MAPK10
Autophagy	MAPK15
Autophagy	MAPK3
Autophagy	MAPK8
Autophagy	MAPK9
Autophagy	MAPT
Autophagy	MCL1
Autophagy	MET
Autophagy	MFN2
Autophagy	MFSD8
Autophagy	MLST8
Autophagy	MOAP1
Autophagy	MRAS
Autophagy	MT3
Autophagy	MTCL1
Autophagy	MTMR14
Autophagy	MTMR3
Autophagy	MTMR4
Autophagy	MTMR8
Autophagy	MTMR9
Autophagy	MTOR
Autophagy	NHLRC1
Autophagy	NLRP6
Autophagy	NPC1
Autophagy	NRAS
Autophagy	NRBF2
Autophagy	NUPR1
Autophagy	OPTN
Autophagy	OSBPL7
Autophagy	PARK7
Autophagy	PDIK1L
Autophagy	PDPK1
Autophagy	PHF23
Autophagy	PIK3C3
Autophagy	PIK3CA
Autophagy	PIK3CB
Autophagy	PIK3CD
Autophagy	PIK3R1
Autophagy	PIK3R2
Autophagy	PIK3R3
Autophagy	PIK3R4
Autophagy	PINK1
Autophagy	PIP4K2A
Autophagy	PIP4K2B
Autophagy	PIP4K2C
Autophagy	PLEKHM1
Autophagy	PPP2CA
Autophagy	PPP2CB
Autophagy	PRAP1
Autophagy	PRKAA1
Autophagy	PRKAA2
Autophagy	PRKACA
Autophagy	PRKACB
Autophagy	PRKACG
Autophagy	PRKCD
Autophagy	PRKCQ
Autophagy	PRKN
Autophagy	PSAP
Autophagy	PSEN1
Autophagy	PTEN
Autophagy	PTPN22
Autophagy	PYCARD
Autophagy	RAB1A
Autophagy	RAB1B
Autophagy	RAB24
Autophagy	RAB33B
Autophagy	RAB39A
Autophagy	RAB39B
Autophagy	RAB7A
Autophagy	RAB7B
Autophagy	RAB8A
Autophagy	RAF1
Autophagy	RASIP1
Autophagy	RB1CC1
Autophagy	RETREG1
Autophagy	RETREG2
Autophagy	RETREG3
Autophagy	RGS19
Autophagy	RHEB
Autophagy	RIMOC1
Autophagy	RMC1
Autophagy	RNF166
Autophagy	RNF185
Autophagy	RNF41
Autophagy	RNF5
Autophagy	ROCK1
Autophagy	RPS6KB1
Autophagy	RPS6KB2
Autophagy	RPTOR
Autophagy	RRAGA
Autophagy	RRAGB
Autophagy	RRAGC
Autophagy	RRAGD
Autophagy	RRAS
Autophagy	RRAS2
Autophagy	RUBCN
Autophagy	RUBCNL
Autophagy	RUFY4
Autophagy	S100A8
Autophagy	S100A9
