ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,25/109,439/18614,4.768203955363869e-18,1.0985941913158354e-14,9.144913270182074e-15,FBXO39/KCTD17/FBXO6/AKT1/SEL1L/RNF180/OS9/SIRT1/AMFR/ANKIB1/ARIH1/BFAR/NUB1/FBXL17/RMND5A/NEDD4L/HSPA5/UBR3/ANAPC1/DERL1/CUL5/PSMD12/UBE2W/LTN1/UBQLN1,25
GO:0016236,macroautophagy,15/109,322/18614,6.299701793262308e-10,7.257256465838178e-7,6.041082456486277e-7,VPS28/AKT1/RAB23/SIRT1/C9orf72/VPS37A/NBR1/ATG5/RB1CC1/PRKAA2/RETREG1/EPG5/LAMP2/UBQLN1/ATG9A,15
GO:0000209,protein polyubiquitination,13/109,244/18614,1.880619442546201e-9,1.4443157318754823e-6,1.202276710287431e-6,TNFAIP3/RNF180/AMFR/ANKIB1/ARIH1/BLMH/BFAR/FBXL17/RMND5A/NEDD4L/ANAPC1/UBE2W/TRAF6,13
GO:0031331,positive regulation of cellular catabolic process,15/109,450/18614,5.676418586520995e-8,3.269617105836093e-5,2.72169333280033e-5,AKT1/PATL2/RNF180/SIRT1/ANKIB1/ARIH1/C9orf72/FBXO7/NUB1/DIS3/PAN2/RB1CC1/TNRC6C/PRKAA2/UBQLN1,15
GO:0045732,positive regulation of protein catabolic process,10/109,209/18614,4.1642889922361845e-7,1.6118987658514448e-4,1.3417761108284597e-4,TNFAIP3/VPS28/AKT1/RNF180/ANKIB1/ARIH1/CSNK2A1/NUB1/UBR3/UBQLN1,10
GO:0031396,regulation of protein ubiquitination,10/109,213/18614,4.9573733612865e-7,1.6118987658514448e-4,1.3417761108284597e-4,TNFAIP3/VPS28/AKT1/NDFIP2/RNF180/HSPA5/ATG5/DERL1/UBQLN1/TRAF6,10
GO:0006631,fatty acid metabolic process,13/109,394/18614,5.235116285491634e-7,1.6118987658514448e-4,1.3417761108284597e-4,CYP2E1/GGT5/AKT1/CPT1C/SLC27A4/SIRT1/CYP2C8/ADH4/CYP2D6/PLA2G4A/ACOXL/LPIN2/PRKAA2,13
GO:0030433,ubiquitin-dependent ERAD pathway,7/109,83/18614,5.596870714761961e-7,1.6118987658514448e-4,1.3417761108284597e-4,FBXO6/SEL1L/OS9/AMFR/HSPA5/DERL1/UBQLN1,7
GO:0010506,regulation of autophagy,12/109,348/18614,9.308699036715558e-7,2.383026953399183e-4,1.9836783210404386e-4,AKT1/SIRT1/C9orf72/FBXO7/WDR41/CSNK2A2/RRAGB/ATG5/RB1CC1/PRKAA2/RAB8A/UBQLN1,12
GO:1903008,organelle disassembly,8/109,140/18614,1.679476850964192e-6,3.8695146646214985e-4,3.221059813112377e-4,GFM2/FBXO7/CSNK2A2/ATG5/RB1CC1/PRKAA2/RETREG1/ATG9A,8
GO:0006721,terpenoid metabolic process,7/109,99/18614,1.8585920535117912e-6,3.892905537537425e-4,3.240530833969841e-4,CYP2E1/RPE65/ADH1B/CYP2C8/ADH4/CYP2D6/BCO2,7
GO:1903320,regulation of protein modification by small protein conjugation or removal,10/109,255/18614,2.5342378402723464e-6,4.865736653322905e-4,4.050334513137031e-4,TNFAIP3/VPS28/AKT1/NDFIP2/RNF180/HSPA5/ATG5/DERL1/UBQLN1/TRAF6,10
GO:0034976,response to endoplasmic reticulum stress,10/109,259/18614,2.9122171603086082e-6,5.16134487488541e-4,4.2964045879208783e-4,FBXO6/BAK1/SEL1L/OS9/SIRT1/AMFR/BFAR/HSPA5/DERL1/UBQLN1,10
GO:0036503,ERAD pathway,7/109,109/18614,3.545926385378744e-6,5.83558170850902e-4,4.8576525369624607e-4,FBXO6/SEL1L/OS9/AMFR/HSPA5/DERL1/UBQLN1,7
GO:0120254,olefinic compound metabolic process,8/109,158/18614,4.148822281569279e-6,6.372591024490412e-4,5.304669611943318e-4,CYP2E1/RPE65/ADH1B/CYP2C8/ADH4/CYP2D6/PLA2G4A/BCO2,8
GO:0030968,endoplasmic reticulum unfolded protein response,6/109,75/18614,5.0909515950389e-6,7.330970296856016e-4,6.102443293526892e-4,BAK1/OS9/AMFR/BFAR/HSPA5/DERL1,6
GO:0035966,response to topologically incorrect protein,8/109,164/18614,5.467063371001774e-6,7.409478827522404e-4,6.167795332486213e-4,FBXO6/BAK1/OS9/AMFR/BFAR/HSPA5/DERL1/UBE2W,8
GO:0035967,cellular response to topologically incorrect protein,7/109,118/18614,6.009352577286423e-6,7.691971298926622e-4,6.402947599892318e-4,BAK1/OS9/AMFR/BFAR/HSPA5/DERL1/UBE2W,7
GO:0006720,isoprenoid metabolic process,7/109,119/18614,6.354424281259768e-6,7.705575549485529e-4,6.414272044573574e-4,CYP2E1/RPE65/ADH1B/CYP2C8/ADH4/CYP2D6/BCO2,7
GO:2000058,regulation of ubiquitin-dependent protein catabolic process,8/109,173/18614,8.10017516036355e-6,9.331401784738809e-4,7.767641653780204e-4,AKT1/RNF180/ANKIB1/ARIH1/CSNK2A2/CSNK2A1/NUB1/UBQLN1,8
GO:0042176,regulation of protein catabolic process,11/109,361/18614,8.81907291277731e-6,9.675782852875677e-4,8.05431120154399e-4,TNFAIP3/VPS28/AKT1/RNF180/ANKIB1/ARIH1/CSNK2A1/NUB1/USP8/UBR3/UBQLN1,11
GO:0001523,retinoid metabolic process,6/109,85/18614,1.0546078687465877e-5,0.0011044620589055175,9.193758549551593e-4,RPE65/ADH1B/CYP2C8/ADH4/CYP2D6/BCO2,6
GO:0016101,diterpenoid metabolic process,6/109,88/18614,1.2883517847789225e-5,0.0012905923965785381,0.0010743143944472297,RPE65/ADH1B/CYP2C8/ADH4/CYP2D6/BCO2,6
GO:0042572,retinol metabolic process,5/109,53/18614,1.4404303594075431e-5,0.001368748284589168,0.0011393728867513998,RPE65/ADH1B/CYP2C8/ADH4/CYP2D6,5
GO:0016054,organic acid catabolic process,9/109,250/18614,1.6328630131320654e-5,0.001368748284589168,0.0011393728867513998,AKT1/CPT1C/SLC27A4/FAH/SARDH/BLMH/GNPDA2/ACOXL/LPIN2,9
GO:0046395,carboxylic acid catabolic process,9/109,250/18614,1.6328630131320654e-5,0.001368748284589168,0.0011393728867513998,AKT1/CPT1C/SLC27A4/FAH/SARDH/BLMH/GNPDA2/ACOXL/LPIN2,9
GO:0000422,autophagy of mitochondrion,6/109,92/18614,1.663409373632669e-5,0.001368748284589168,0.0011393728867513998,FBXO7/CSNK2A2/ATG5/RB1CC1/RETREG1/ATG9A,6
