gene_symbol,annotation_id,annotation_name,database
PLEKHM1,GO:0006914,autophagy,GO
ATG16L1,GO:0006914,autophagy,GO
TRAPPC4,GO:0006914,autophagy,GO
VPS11,GO:0006914,autophagy,GO
STK35,GO:0006914,autophagy,GO
TP53INP2,GO:0006914,autophagy,GO
NPC1,GO:0006914,autophagy,GO
TOLLIP,GO:0006914,autophagy,GO
RMC1,GO:0010506,regulation of autophagy,GO
RMC1,GO:0006914,autophagy,GO
SIRT2,GO:0006914,autophagy,GO
SIRT2,GO:0010507,negative regulation of autophagy,GO
SRPX,GO:0006914,autophagy,GO
TECPR2,GO:0006914,autophagy,GO
ATG2B,GO:0006914,autophagy,GO
ATG2B,GO:0000422,autophagy of mitochondrion,GO
SMCR8,GO:0006914,autophagy,GO
SMCR8,GO:0010506,regulation of autophagy,GO
ARSB,GO:0006914,autophagy,GO
WIPI2,GO:0006914,autophagy,GO
WIPI2,GO:0000422,autophagy of mitochondrion,GO
TRIM17,GO:0006914,autophagy,GO
STING1,GO:0006914,autophagy,GO
ATG10,GO:0006914,autophagy,GO
TM9SF1,GO:0006914,autophagy,GO
CHMP4A,GO:0006914,autophagy,GO
ATG4A,GO:0006914,autophagy,GO
NRBF2,GO:0006914,autophagy,GO
FUNDC1,GO:0006914,autophagy,GO
FUNDC1,GO:0000422,autophagy of mitochondrion,GO
MOAP1,GO:0006914,autophagy,GO
ATG12,GO:0006914,autophagy,GO
ATG12,GO:0000422,autophagy of mitochondrion,GO
RAB39A,GO:0006914,autophagy,GO
HMGB1,GO:0006914,autophagy,GO
PDIK1L,GO:0006914,autophagy,GO
EVA1A,GO:0006914,autophagy,GO
TMEM74,GO:0006914,autophagy,GO
DEPP1,GO:0006914,autophagy,GO
DEPP1,GO:0010506,regulation of autophagy,GO
VPS4B,GO:0006914,autophagy,GO
RAB39B,GO:0006914,autophagy,GO
RAB39B,GO:0010506,regulation of autophagy,GO
UVRAG,GO:0006914,autophagy,GO
UVRAG,GO:0010506,regulation of autophagy,GO
CHMP4B,GO:0006914,autophagy,GO
CHMP4B,GO:0010506,regulation of autophagy,GO
RB1CC1,GO:0000422,autophagy of mitochondrion,GO
RB1CC1,GO:0006914,autophagy,GO
CISD2,GO:0010506,regulation of autophagy,GO
CISD2,GO:0006914,autophagy,GO
CISD2,GO:0000422,autophagy of mitochondrion,GO
FOXO1,GO:0006914,autophagy,GO
HDAC10,GO:0006914,autophagy,GO
GABARAPL1,GO:0006914,autophagy,GO
GABARAPL1,GO:0000422,autophagy of mitochondrion,GO
VPS41,GO:0006914,autophagy,GO
EI24,GO:0006914,autophagy,GO
DRD2,GO:0006914,autophagy,GO
TECPR1,GO:0006914,autophagy,GO
NHLRC1,GO:0006914,autophagy,GO
UBQLN1,GO:0006914,autophagy,GO
TGFBRAP1,GO:0006914,autophagy,GO
ATG4C,GO:0006914,autophagy,GO
HERC1,GO:0006914,autophagy,GO
HERC1,GO:0010507,negative regulation of autophagy,GO
PIK3C3,GO:0006914,autophagy,GO
PIK3C3,GO:0010506,regulation of autophagy,GO
UBQLN2,GO:0006914,autophagy,GO
ATG2A,GO:0006914,autophagy,GO
ATG2A,GO:0000422,autophagy of mitochondrion,GO
VPS13A,GO:0006914,autophagy,GO
