gene_symbol,annotation_ids,annotation_names,databases,n_annotation
ABCB10,GO:0005743,mitochondrial inner membrane,GO,1
ABCB6,GO:0005741,mitochondrial outer membrane,GO,1
ABCB7,GO:0005743,mitochondrial inner membrane,GO,1
ABCB8,GO:0005743,mitochondrial inner membrane,GO,1
ABL1,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
ABL2,GO:0010506,regulation of autophagy,GO,1
ACACB,GO:0005741,mitochondrial outer membrane,GO,1
ACAD11,GO:0005743,mitochondrial inner membrane,GO,1
ACAD9,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
ACADVL,GO:0005743,mitochondrial inner membrane,GO,1
ACBD5,GO:0006914,autophagy,GO,1
ACER2,GO:0010506,regulation of autophagy,GO,1
ACSL1,GO:0005741,mitochondrial outer membrane,GO,1
ACSL3,GO:0005741,mitochondrial outer membrane,GO,1
ACSL4,GO:0005741,mitochondrial outer membrane,GO,1
ACSL5,GO:0005741,mitochondrial outer membrane,GO,1
ACSL6,GO:0005741,mitochondrial outer membrane,GO,1
ACTB,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ACTG1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ADCK1,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
ADRA1A,GO:0010507,negative regulation of autophagy,GO,1
AFG1L,GO:0007005|br:hsa03029,mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,2
AFG3L2,GO:0005743|GO:0007005|GO:0008053,mitochondrial inner membrane|mitochondrion organization|mitochondrial fusion,GO,3
AGK,GO:0005743|GO:0005741,mitochondrial inner membrane|mitochondrial outer membrane,GO,2
AGPAT4,GO:0005741,mitochondrial outer membrane,GO,1
AGPAT5,GO:0005741,mitochondrial outer membrane,GO,1
AGTPBP1,GO:0007005,mitochondrion organization,GO,1
AIFM1,GO:0005743,mitochondrial inner membrane,GO,1
AIFM2,GO:0005741,mitochondrial outer membrane,GO,1
AIFM3,GO:0005743,mitochondrial inner membrane,GO,1
AIP,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
AIPL1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
AKAP1,GO:0005741,mitochondrial outer membrane,GO,1
AKT1,GO:0010507|path:hsa04140,negative regulation of autophagy|Autophagy,GO|KEGG,2
AKT1S1,path:hsa04140,Autophagy,KEGG,1
AKT2,path:hsa04140,Autophagy,KEGG,1
AKT3,path:hsa04140,Autophagy,KEGG,1
ALAS1,GO:0005743,mitochondrial inner membrane,GO,1
ALAS2,GO:0005743,mitochondrial inner membrane,GO,1
ALDH18A1,GO:0005743,mitochondrial inner membrane,GO,1
AMBP,GO:0005743,mitochondrial inner membrane,GO,1
AMBRA1,GO:0006914|GO:0000422|GO:0005741|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|mitochondrial outer membrane|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,6
ANXA7,GO:0006914,autophagy,GO,1
APOO,GO:0005743|GO:0007007|br:hsa03029,mitochondrial inner membrane|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,3
APOOL,GO:0005743|GO:0007007|br:hsa03029,mitochondrial inner membrane|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,3
AQP8,GO:0005743,mitochondrial inner membrane,GO,1
ARFIP2,GO:0006914,autophagy,GO,1
ARG1,GO:0005741,mitochondrial outer membrane,GO,1
ARMC1,GO:0005741,mitochondrial outer membrane,GO,1
ARMC12,GO:0005741,mitochondrial outer membrane,GO,1
ARMCX1,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
ARMCX2,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
ARMCX3,GO:0005741|GO:0007005|br:hsa03029,mitochondrial outer membrane|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,3
ARMCX6,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
ARSA,GO:0006914,autophagy,GO,1
ARSB,GO:0006914,autophagy,GO,1
ASS1,GO:0005741,mitochondrial outer membrane,GO,1
ATAD1,GO:0005741,mitochondrial outer membrane,GO,1
ATAD3A,GO:0007005|GO:0005743|br:hsa03029,mitochondrion organization|mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,3
ATAD3B,GO:0007005|GO:0005743|br:hsa03029,mitochondrion organization|mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,3
ATAD3C,GO:0007005,mitochondrion organization,GO,1
ATF2,GO:0005741,mitochondrial outer membrane,GO,1
ATF4,path:hsa04137,Mitophagy,KEGG,1
