"";"Var1";"Freq"
"1";"A1BG";3
"2";"A1BG-AS1";1
"3";"A1CF";3
"4";"A2M";3
"5";"A2M-AS1";1
"6";"A2ML1";3
"7";"A2ML1-AS1";1
"8";"A2ML1-AS2";1
"9";"A2MP1";3
"10";"A3GALT2";2
"11";"A4GALT";3
"12";"A4GNT";3
"13";"AAAS";3
"14";"AACS";3
"15";"AACSP1";3
"16";"AADAC";3
"17";"AADACL2";2
"18";"AADACL2-AS1";1
"19";"AADACL3";3
"20";"AADACL4";2
"21";"AADACP1";2
"22";"AADAT";3
"23";"AAGAB";3
"24";"AAK1";3
"25";"AAMDC";3
"26";"AAMP";3
"27";"AANAT";3
"28";"AAR2";3
"29";"AARD";3
"30";"AARS1";3
"31";"AARS2";3
"32";"AARSD1";2
"33";"AARSD1P1";3
"34";"AASDH";3
"35";"AASDHPPT";3
"36";"AASS";3
"37";"AATBC";1
"38";"AATF";3
"39";"AATK";3
"40";"ABAT";3
"41";"ABCA1";3
"42";"ABCA10";3
"43";"ABCA11P";2
"44";"ABCA12";3
"45";"ABCA13";3
"46";"ABCA17P";3
"47";"ABCA2";3
"48";"ABCA3";3
"49";"ABCA3P1";1
"50";"ABCA4";2
"51";"ABCA5";3
"52";"ABCA6";3
"53";"ABCA7";3
"54";"ABCA8";3
"55";"ABCA9";3
"56";"ABCA9-AS1";1
"57";"ABCB1";3
"58";"ABCB10";3
"59";"ABCB10P3";2
"60";"ABCB11";3
"61";"ABCB4";3
"62";"ABCB5";3
"63";"ABCB6";3
"64";"ABCB7";3
"65";"ABCB8";3
"66";"ABCB9";3
"67";"ABCC1";3
"68";"ABCC10";3
"69";"ABCC11";3
"70";"ABCC12";3
"71";"ABCC13";3
"72";"ABCC2";3
"73";"ABCC3";3
"74";"ABCC4";3
"75";"ABCC5";3
"76";"ABCC5-AS1";1
"77";"ABCC6";3
"78";"ABCC6P1";3
"79";"ABCC6P2";3
"80";"ABCC8";3
"81";"ABCC9";3
"82";"ABCD1";3
"83";"ABCD2";3
"84";"ABCD3";3
"85";"ABCD4";3
"86";"ABCE1";3
"87";"ABCF1";3
"88";"ABCF2";3
"89";"ABCF2-H2BK1";3
"90";"ABCF2P1";2
"91";"ABCF2P2";2
"92";"ABCF3";3
"93";"ABCG1";3
"94";"ABCG2";3
"95";"ABCG4";3
"96";"ABCG5";3
"97";"ABCG8";3
"98";"ABHD1";3
"99";"ABHD10";3
"100";"ABHD11";3
"101";"ABHD11-AS1";3
"102";"ABHD12";3
"103";"ABHD12B";3
"104";"ABHD13";3
"105";"ABHD14A";2
"106";"ABHD14A-ACY1";3
"107";"ABHD14B";3
"108";"ABHD15";3
"109";"ABHD16A";3
"110";"ABHD16B";3
"111";"ABHD17A";3
"112";"ABHD17AP1";3
"113";"ABHD17AP3";3
"114";"ABHD17AP4";3
"115";"ABHD17AP5";2
"116";"ABHD17AP6";1
"117";"ABHD17B";3
"118";"ABHD17C";3
"119";"ABHD18";3
"120";"ABHD2";3
"121";"ABHD3";3
"122";"ABHD4";3
"123";"ABHD5";3
"124";"ABHD6";3
"125";"ABHD8";3
"126";"ABI1";3
"127";"ABI1P1";2
"128";"ABI2";3
"129";"ABI3";3
"130";"ABI3BP";3
"131";"ABITRAM";3
"132";"ABL1";3
"133";"ABL2";3
"134";"ABLIM1";3
"135";"ABLIM2";3
"136";"ABLIM3";3
"137";"ABO";3
"138";"ABR";3
"139";"ABR-AS1";1
"140";"ABRA";3
"141";"ABRACL";3
"142";"ABRAXAS1";3
"143";"ABRAXAS2";3
"144";"ABT1";3
"145";"ABT1P1";2
"146";"ABTB1";3
"147";"ABTB2";3
"148";"ACAA1";3
"149";"ACAA2";3
"150";"ACAA2P1";2
"151";"ACACA";3
"152";"ACACB";3
"153";"ACAD10";3
"154";"ACAD11";2
"155";"ACAD8";3
"156";"ACAD9";3
"157";"ACADL";3
"158";"ACADM";3
"159";"ACADS";3
"160";"ACADSB";3
"161";"ACADVL";3
"162";"ACAN";3
"163";"ACAP1";3
"164";"ACAP2";3
"165";"ACAP2-IT1";1
"166";"ACAP3";3
"167";"ACAT1";2
"168";"ACAT2";3
"169";"ACBD3";3
"170";"ACBD3-AS1";1
"171";"ACBD4";3
"172";"ACBD5";3
"173";"ACBD6";3
"174";"ACBD7";3
"175";"ACCS";3
"176";"ACCSL";2
"177";"ACD";3
"178";"ACE";3
"179";"ACE2";3
"180";"ACER1";2
"181";"ACER2";3
"182";"ACER3";3
"183";"ACHE";3
"184";"ACIN1";3
"185";"ACKR1";2
"186";"ACKR2";2
"187";"ACKR3";3
"188";"ACKR4";3
"189";"ACKR4P1";1
"190";"ACLY";3
"191";"ACMSD";3
"192";"ACO1";3
"193";"ACO2";3
"194";"ACOD1";2
"195";"ACOT1";3
"196";"ACOT11";3
"197";"ACOT12";3
"198";"ACOT13";3
"199";"ACOT2";3
"200";"ACOT4";3
"201";"ACOT6";3
"202";"ACOT7";3
"203";"ACOT8";3
"204";"ACOT9";3
"205";"ACOX1";3
"206";"ACOX2";3
"207";"ACOX3";3
